NeosCoin NeosCoin 	NEOS 	$55,916,253 	$15.38 	3,635,548 	$4,797,633 	-0.05% 	-5.23% 	165.06%
bitCNY bitCNY 	BITCNY 	$55,103,923 	$0.136839 	402,690,479 * 	$44,197,190 	-0.20% 	-0.50% 	-2.19%
Pepe Cash Pepe Cash 	PEPECASH 	$55,029,956 	$0.078403 	701,884,009 * 	$693,035 	0.01% 	-10.34% 	-10.78%
FairCoin FairCoin 	FAIR 	$54,764,289 	$1.03 	53,193,831 * 	$147,222 	0.21% 	-1.36% 	-3.77%
Spectrecoin Spectrecoin 	XSPEC 	$54,695,052 	$2.63 	20,785,264 * 	$892,828 	-0.15% 	-11.16% 	91.83%
Open Trading Network Open Trading ... 	OTN 	$53,497,487 	$10.17 	5,260,013 * 	$77,510 	-0.21% 	-4.94% 	40.03%
MinexCoin MinexCoin 	MNX 	$53,116,280 	$17.71 	3,000,000 	$107,370 	-0.35% 	3.72% 	-20.38%
Elastic Elastic 	XEL 	$52,103,093 	$0.590859 	88,181,989 * 	$1,564,336 	0.08% 	-6.01% 	6.01%
Monetha Monetha 	MTH 	$52,031,470 	$0.239905 	216,883,420 * 	$4,668,628 	0.69% 	-3.09% 	13.17%
I/O Coin I/O Coin 	IOC 	$51,913,120 	$3.16 	16,442,695 * 	$292,767 	-0.03% 	-4.68% 	2.39%
Nuls Nuls 	NULS 	$51,199,675 	$2.17 	23,564,882 * 	$6,792,321 	0.29% 	4.68% 	28.46%
